ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
09,002,0001,090020000258,2,09-002-0001-00,00009,24,01,09002000025801,01,1,1,27,09,2018,0501,009,419,3,03,2020,0301,3,,5
09,002,0001,090020000312,2,09-002-0001-00,00011,23,01,09002000031201,01,1,1,22,12,2019,0102,009,425,2,,,,,,5
09,002,0001,090020000393,2,09-002-0001-00,00014,26,04,09002000039301,01,1,1,36,02,2018,0101,009,330,3,02,2019,0102,1,03,5
09,002,0001,090020000525,2,09-002-0001-00,00017,26,01,09002000052501,01,1,1,20,12,2018,0102,009,221,1,,,,,,5
09,002,0001,090020000544,2,09-002-0001-00,00017,26,01,09002000054401,01,1,3,18,99,9999,0101,009,221,1,,,,,,5
09,002,0001,090020000557,2,09-002-0001-00,00017,26,01,09002000055701,01,1,3,32,12,2016,0102,009,213,3,12,2019,0301,3,,5
09,002,0001,090020000588,2,09-002-0001-00,00017,26,02,09002000058801,01,1,1,999,99,9999,9999,999,999,9,,,,,,5
09,002,0001,090020000661,2,09-002-0001-00,00017,26,02,09002000066101,01,1,1,20,06,2018,0501,009,214,3,02,2019,0501,1,04,5
09,002,0001,090020000704,2,09-002-0001-00,00017,26,02,09002000070401,01,1,3,36,03,2015,0409,009,221,1,,,,,,5
09,002,0001,090020000868,2,09-002-0001-00,00018,25,02,09002000086801,01,1,3,35,11,2017,0102,009,419,2,,,,,,5
09,002,0001,090020001049,2,09-002-0001-00,00023,24,02,09002000104901,01,1,3,33,04,2017,0301,009,221,1,,,,,,5
09,002,0001,090020001246,2,09-002-0001-00,00028,23,01,09002000124601,01,1,1,25,03,2019,0102,009,221,3,05,2019,0102,1,03,5
09,002,0001,090020001302,2,09-002-0001-00,00028,23,02,09002000130201,01,1,3,21,02,2020,0501,009,250,2,,,,,,5
09,002,0001,090020001346,2,09-002-0001-00,00029,24,01,09002000134601,01,1,1,29,09,2017,0301,009,215,2,,,,,,5
09,002,0001,090020001370,2,09-002-0001-00,00029,24,04,09002000137001,01,1,3,36,99,9999,9999,999,999,9,,,,,,5
09,002,0001,090020001375,2,09-002-0001-00,00029,24,04,09002000137501,01,1,1,42,02,2016,0101,009,221,1,,,,,,5
